"Question","Answer","Source"
"customer care center contact number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"Can I know the customer service department contact number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"can I get your head office number ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"Can I get customer care number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"pls send me  branch contact no ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"can I have a contact number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"can i have the card center number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"can i get card center number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"i need to contact customer care i m not live in srilanka ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"credit card queries contact number ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"credit card hotline number? ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"hi can i get a sales persons contact number of sampath bank credit card?","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"I want to block my debit card can i know the hotline no. please ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"before I open a account I need to get the details by a voice call ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"Give me nawam mawatha branch contact no","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"can i have horana branch manager contact ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"give me contact of credit card center ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"contact number for credit card ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
